CR_NUMBER,SOURCE_ID,CSC1,INS1,OCR$,PLAT,PNM1
180056049,,,,,,
180057049,,,,,,
180060017,,,,,,
180567019,NAFC,,,,,
180569017,NAFC,,,,,
180573005,NAFC,,,,,
180578028,NAFC,,,,,
180578029,NAFC,,,,,
180583013,NAFC,,,,,
180583013,NAFC,,,,,
181069032,BIO,,,,,
181883009,CANA,,,,,
189995013,NAFC,,NAFC,41011,,
18BW02004,NAFC,,NAFC,40013,,BostonWhlr
18BW94001,NAFC,,NAFC,40001,,BostonWhlr
18BW97001,NAFC,,NAFC,40002,,BostonWhlr
18DA74028,BIO,Pocklington,,74-028,18DA,
18DA74038,MEDS,,BIO,,18DA,
18DA82006,MEMU,B.deYoung,MEMU,18DA82005,18DA,
18DA83007,MEMU,B.deYoung,MEMU,,18DA,
18DA84002,MEMU,B.deYoung,MEMU,,18DA,
18DA84011,MEMU,B.deYoung,MEMU,,18DA,
18DA85012,MEMU,B.deYoung,MEMU,,18DA,
18HB97003,NAFC,,NAFC,25003,18HB,
18HB97004,NAFC,,NAFC,25004,18HB,
18HB98001,NAFC,,NAFC,25006,18HB,
18HB98002,NAFC,,NAFC,25007,18HB,
18HU83010,MEMU,B.deYoung,MEMU,18HU83009,18HU,
18MN82006,MEMU,B.deYoung,MEMU,,18MN,
18MN83008,MEMU,B.deYoung,MEMU,,18MN,
18OK82005,MEMU,B.deYoung,MEMU,,18OK,
18OK84010,MEMU,B.deYoung,MEMU,,18OK,
18VA01020,NAFC,,NAFC,40007,,BostonWhaler
18VA01022,NAFC,,NAFC,40003,,BostonWhaler
18VA01024,NAFC,,NAFC,40004,,BostonWhaler
18VD13011,NAFC,,NAFC,61011,18VD,
CG2676  09,CWOW,,,,18OK,
CG2845  97,CWOW,,,,18HB,
CG2845  97,MEDS,,,,18HB,
CG2845  98,CWOW,,,,18HB,
CGBT    97,CWOW,,,,18BB,
KWAL    97,CWOW,,,,,
SHIP    01,CWOW,,,,,
SHIP    01,MEDS,,,,,
SHIP    06,CWOW,,,,,
SHIP    94,CWOW,,,,,
